u	score	name
184	9.57694599425817	University of Colorado, Colorado Springs
185	9.311521586046258	Colorado School of Mines
186	9.27902063810194	Georgia State University
187	8.244407128541248	University of Nevada, Las Vegas
188	8.211906180596932	Kent State University
189	7.339797410757819	Memorial University of Newfoundland
190	7.090623476518067	Utah State University
191	6.700612101186286	DePaul University
192	5.855587454634095	North Dakota State University
193	4.490547640972857	Nova Southeastern University
194	4.409295271112082	University of Arkansas, Fayetteville
195	4.393044797139924	University of Bridgeport
196	4.181788635501868	University of Louisville
197	3.7213585396240747	University of Nebraska, Omaha
198	3.298846216347978	Florida Institute of Technology
199	3.087590054709938	University of Arkansas, Little Rock
200	2.795081523211092	Rochester Institute of Technology
201	2.5350739396565767	Pace University
202	2.4700720437679444	New Mexico Institute of Mining and Technology
203	2.3671523752776147	University of Nevada, Reno
204	0.016250473972158137	University of Alabama, Tuscaloosa
205	0.0	University of North Texas, Denton
